table,records,columns
latest_race_results,22,7
races,1171,18
drivers,865,9
constructors,214,5
results,27282,18
driver_standings,35405,7
constructor_standings,13653,7
qualifying,11014,9
pit_stops,22164,7
sprint_results,502,17
